place_id,place_name,review_rating,review_text,review_language,review_time,relative_time_description,author_name
ChIJm9UXZ94JdkgRwy2rlAHW-Vs,Costa Coffee,5,"What a wonderful experience in Costa coffee Wimbledon station yesterday. It was so nice, refreshing and rare to experience actual exceptional customer service these days and yesterday we got it. 🎇🎉🎊🍾☕☕☕☕

Alfie a true rockstar barista was attentive, eloquent, professional and friendly. And was truly on the ball when it came to allergies and intolerances with the order. The wonderful Christmas drinks and treats were served with a smile, efficiency and professionalism that every other shop fails miserably at!!  Costa you must wake up and smell the coffee here and realise you have awesome staff members who are representing your brand perfectly. It was so nice to see a team so friendly, interact with the customers and being top pros at the same time.  Cheers for the great drinks and superb customer service....see you again soon 💪🏼💪🏼",en,1764429424,2 months ago,John H
ChIJm9UXZ94JdkgRwy2rlAHW-Vs,Costa Coffee,4,"Usually service is slow compared to Nero's, not good if you're waiting for a train. Their system of one person taking orders and one making the coffee is less efficient than Nero's where both staff make coffees. Other than that pretty good",en,1745485215,9 months ago,Garreth Tinsley
ChIJm9UXZ94JdkgRwy2rlAHW-Vs,Costa Coffee,5,Had a fantastic experience this morning.  Fabulous service with engaging and kind staff who took a real interest in their customers. The coffee was great too!,en,1767613105,a month ago,Chris Cox
ChIJm9UXZ94JdkgRwy2rlAHW-Vs,Costa Coffee,1,"Rude staff forgot to make my tea as they was busy I can understand mistakes. When I approached to say that more than 4 people had got my drinks before me the woman named Dorota made my tea in seconds, when I asked for an apology she just blanked me and said to her workmate she is not stressing today! Horrible person won’t be coming here again",en,1766495604,a month ago,Rice Racing
ChIJm9UXZ94JdkgRwy2rlAHW-Vs,Costa Coffee,5,"Really lovely service with a smile, and really genuinely helpful staff. I never understand why some companies in the catering or retail companies industry make staff cover up their piercings though. In this day and age it’s really sad when people are not allowed to celebrate their individuality, and for me it reflects badly on the company. I mean if it was unhygienic I’d understand, but surely we’ve come a lot further than this.

Really lovely service though and full points to the staff 👌🙌🙌🙌😍",en,1659109614,3 years ago,Nick Osborn
ChIJS1BFKxMPdkgRo7fxzjQe1B8,Costa Coffee,4,"I  visited this Costa Coffee at its opening time, 6:30 am. The atmosphere was very calm, very clean, with all the croissants and pastries ready. It’s clear that the staff must have been working since 5:30, yet I was welcomed very kindly, a sign of people who truly love their job, which is a rare thing.
The restrooms were also very clean. Both the entrance and the restrooms are accessible for people who need to use a wheelchair.
Perfect for workers who get up early to go to work like me, as well as for studying or meeting friends. Certainly, at different times of the day the coffee shop will be full of people. I will make sure to come back and add something more to this review, hopefully only positives (and not negatives).
Parking until 8.30 free, in Carlton Dr ( two minutes walk)",en,1763490755,2 months ago,Dario Ferro
ChIJS1BFKxMPdkgRo7fxzjQe1B8,Costa Coffee,5,"Excellent service from Max today, went above and beyond usual Costa service. Also, very patient with other customers who don’t understand the concept. Great customer service.",en,1769175432,2 weeks ago,Rhys
ChIJS1BFKxMPdkgRo7fxzjQe1B8,Costa Coffee,5,"Amazing! my favorite place in the area, the coffee is top quality, the atmosphere is incredibly nice and welcoming, the manager and staff members are consistently polite and attentive.
Highly recommend!",en,1769432622,a week ago,Abdul Ali Nawrozie
ChIJS1BFKxMPdkgRo7fxzjQe1B8,Costa Coffee,4,"Use a lot and seen other reviews.  Agree Gutherberg, Magda, and particularly Melika and newcomer Jack/Jake doing a serious good job  - fabulous drinks!   Long may they remain!!.  Thanks
Only negatives - toilets sometimes not so good,  and lady - tall, long dark hair (nurioa?)  perhaps a touch tense and does not engage as well as others/at times a touch rude?!!",en,1761133156,3 months ago,bnng
ChIJS1BFKxMPdkgRo7fxzjQe1B8,Costa Coffee,1,"Great location, however the staff were completely uninterested in serving us (fyi and reference, this is Christmas time and the staff are wearing Christmas jumpers and Christmas items in their hair....) This is the season of goodwill and being friendly to people yet we were definitely served by a female Scrooge who couldn't have been more unfriendly, uninterested and couldn't even bring herself to make any eye contact with us. It was like we were imposing on her own personal time. Not that she is being paid to provide customer service or anything. I was staggered how unaware she was that this lack of professionalism to her is ok. Once we received the items just plonked down on the table , the drinks seemed more like a nightmare before Christmas drink rather than anything from the festive menu. No care, love or artistry for the Christmas drink offerings. The final slap in the face was my terrys chocolate orange hot chocolate had no more Terry's chocolate orange segments left, so they gave me an after eight mint instead..??? Great, so I want orange, chocolate and mint flavoured hot chocolate.... It's such a half hearted and non caring customer service we all receive now which is a wider scaled issue in many coffee and other establishments now...and we pay through the nose for these 'experiences' now..........awful...",en,1703737273,2 years ago,John H
ChIJpeZEvVcLdkgRvQ3KbT6VLfQ,Costa Coffee,5,"Five stars simply for being 24 hour in my view, as can't be that profitable to be open at 3am for the odd (very appreciative) customer.   Coffees, inc decaf, are decent, hot and large.  Use the app for 1 free coffee in 10, and occasional discounts (e.g. 30% off order, 30% off food).",en,1744277281,10 months ago,Matt
ChIJpeZEvVcLdkgRvQ3KbT6VLfQ,Costa Coffee,2,"If this cafe was in Kingston centre, it would be empty. Food is tasteless, but overpriced, service is slow and not particularly friendly. It’s a shame to keep this mediocre cafe in a place where people need something to keep their spirit high without robbing them.",en,1769246293,2 weeks ago,Desi Slava
ChIJpeZEvVcLdkgRvQ3KbT6VLfQ,Costa Coffee,3,10 whole minutes to get an average coffee - I'm not a fan of their beans but it's the only option in this part of the hospital. They have 2 tills and 2 separate machines but not enough staff or management will to organise more efficiently. They have a monopoly in this part of the hospital so maybe they just don't care! I'm wondering if making medics wait  for coffee could be a contributing factor to the lengthening waiting lists?!,en,1756976872,5 months ago,Peter G
ChIJpeZEvVcLdkgRvQ3KbT6VLfQ,Costa Coffee,5,The team are diligent and friendly. Hongdae helped me so much after my surgery and made me the perfect drink which was just what I needed. People here are lovely and the quality is always top notch! Thank you!,en,1749858071,7 months ago,Grace Hope
ChIJpeZEvVcLdkgRvQ3KbT6VLfQ,Costa Coffee,2,"I've visited this Costa branch multiple times throughout the year, my latest visit was this week (June 24). Staff at this Costa could not give less of a damn if they tried, I understand that there is a high demand and they must be very busy and stressed. However this is a customer facing role in a Hospital, being rude and having a moody expression is the last thing people want to experience. Not to mention the inconsistencies of heated items, myself and my partner got 2 wraps, one was scalding hot all over and the other one was hot on the outside and fridge cold in the middle, despite being heated at the same time. Just to further point out that the promotional / limited edition drinks are never in stock, every time I've ever asked for a new interesting drink being advertised on screen, I'm told that one or more ingredients are not in stock.",en,1717927549,a year ago,Joe Parton
ChIJfzoaEQwJdkgRvWgNJtWQY00,Costa Coffee (Nelson Café),1,"The worse waitress in the word , no education at all , never help suggesting what you can have they don't even look at you ....
Very bad people for to be in a health center .
No consideration
And be careful if they can charge you more they will.",en,1695807788,2 years ago,josefina gutier
ChIJfzoaEQwJdkgRvWgNJtWQY00,Costa Coffee (Nelson Café),4,,,1699014317,2 years ago,Nerisse Knight
ChIJf6R68-YOdkgRdnlvnfCMGl4,Costa Coffee,1,Staff member who served me was disinterested. I asked for toast at 11.35 and was told rudely no toast after 11am. Why? I asked about the costa app and the lady replied “we are not Costa”? Training is needed here lets down the usual friendly Costa experience!,en,1763380132,2 months ago,W C
ChIJf6R68-YOdkgRdnlvnfCMGl4,Costa Coffee,1,Absolutely awful. Had a breakfast and it was terrible.  Bacon hard & inedible . Sausages not much better . Servicewas poor the waitress was not very polite & miserable.,en,1760022394,4 months ago,7Allen Osborn
ChIJf6R68-YOdkgRdnlvnfCMGl4,Costa Coffee,1,"I've been here twice and I now realise why the usually nice strong Costa coffee is weak. I thought it was just me. But today another customer complained that the coffee was too weak.
I was sat here for about an hr as my dad was getting a procedure and I watched the way they make coffee, the take the cup away before the expresso shot had been dispensed and the rest is just discharged/wasted. So if you're wondering why your coffee tastes disgusting this is why.",en,1725969914,a year ago,YL Wo (Yannie88)
ChIJf6R68-YOdkgRdnlvnfCMGl4,Costa Coffee,1,"Coffee tastes week
Service is rude
Would not come here again",en,1750063364,7 months ago,Kim Covill
ChIJf6R68-YOdkgRdnlvnfCMGl4,Costa Coffee,4,"This is located behind the reception area on the ground floor of Queen Mary's Hospital, Roehampton.  It is not managed by Costa, so I could not swipe my Costa card here, nor did it have the usual Costa wi-fi.",en,1680547649,2 years ago,David W
ChIJQ7PlgMUFdkgR4Ucaac76JN0,Costa Coffee,4,"I’ve been here twice now, once with friends and once with a book. The ambience is good and I enjoyed my mint hot chocolate. The staff are friendly and efficient. The only part that is less than good are the prices, which feel steep. £5 for a small hot chocolate was a bit much in my opinion.",en,1766325960,a month ago,Megan Lim
